,MSSubClass,LotFrontage
1200,20,71.0
1201,60,80.0
1202,50,50.0
1203,20,75.0
1204,20,78.0
1205,20,90.0
1206,20,0.0
1207,20,70.0
1208,20,70.0
1209,20,85.0
1210,60,70.0
1211,50,152.0
1212,30,50.0
1213,80,0.0
1214,85,69.0
1215,20,99.0
1216,90,68.0
1217,20,72.0
1218,50,52.0
1219,160,21.0
1220,20,66.0
1221,20,55.0
1222,50,78.0
1223,20,89.0
1224,60,60.0
1225,80,65.0
1226,60,86.0
1227,20,72.0
1228,120,65.0
1229,80,70.0
1230,90,0.0
1231,90,70.0
1232,90,70.0
1233,20,0.0
1234,70,55.0
1235,70,96.0
1236,160,36.0
1237,60,41.0
1238,20,63.0
1239,20,64.0
1240,60,65.0
1241,20,83.0
1242,85,85.0
1243,20,107.0
1244,70,0.0
1245,80,78.0
1246,60,65.0
1247,80,0.0
1248,75,60.0
1249,20,60.0
1250,20,93.0
1251,120,0.0
1252,20,62.0
1253,60,0.0
1254,60,60.0
1255,50,52.0
1256,20,91.0
1257,30,56.0
1258,80,59.0
1259,20,65.0
1260,60,0.0
1261,20,80.0
1262,50,0.0
1263,70,60.0
1264,120,34.0
1265,160,35.0
1266,190,60.0
1267,20,89.0
1268,50,0.0
1269,50,78.0
1270,40,0.0
1271,20,0.0
1272,20,0.0
1273,80,124.0
1274,50,53.0
1275,90,95.0
1276,60,0.0
1277,80,0.0
1278,60,75.0
1279,50,60.0
1280,20,67.0
1281,20,50.0
1282,20,61.0
1283,90,94.0
1284,50,50.0
1285,50,50.0
1286,20,0.0
1287,20,0.0
1288,120,40.0
1289,60,86.0
1290,80,0.0
1291,160,21.0
1292,70,60.0
1293,60,78.0
1294,20,60.0
1295,20,70.0
1296,20,80.0
1297,180,35.0
1298,60,313.0
1299,20,75.0
1300,60,0.0
1301,70,0.0
1302,60,92.0
1303,20,73.0
1304,160,32.0
1305,20,108.0
1306,120,48.0
1307,20,60.0
1308,20,100.0
1309,20,0.0
1310,20,100.0
1311,20,68.0
1312,60,0.0
1313,60,108.0
1314,20,60.0
1315,60,85.0
1316,20,61.0
1317,120,47.0
1318,20,0.0
1319,20,75.0
1320,20,70.0
1321,20,0.0
1322,60,107.0
1323,30,50.0
1324,20,75.0
1325,30,40.0
1326,30,70.0
1327,20,60.0
1328,50,60.0
1329,60,63.0
1330,20,85.0
1331,80,55.0
1332,20,67.0
1333,50,60.0
1334,160,24.0
1335,20,80.0
1336,90,87.0
1337,30,153.0
1338,60,95.0
1339,20,120.0
1340,20,70.0
1341,20,66.0
1342,60,0.0
1343,50,57.0
1344,60,85.0
1345,30,50.0
1346,20,0.0
1347,20,93.0
1348,20,0.0
1349,70,50.0
1350,90,91.0
1351,60,70.0
1352,50,50.0
1353,50,56.0
1354,60,0.0
1355,80,102.0
1356,20,0.0
1357,20,0.0
1358,160,0.0
1359,20,129.0
1360,70,51.0
1361,20,124.0
1362,50,0.0
1363,60,73.0
1364,160,30.0
1365,60,0.0
1366,60,68.0
1367,160,41.0
1368,120,0.0
1369,20,48.0
1370,50,90.0
1371,80,80.0
1372,60,75.0
1373,20,0.0
1374,60,85.0
1375,20,89.0
1376,30,52.0
1377,50,60.0
1378,160,21.0
1379,80,73.0
1380,30,45.0
1381,20,0.0
1382,70,60.0
1383,30,0.0
1384,50,60.0
1385,50,40.0
1386,60,80.0
1387,50,60.0
1388,20,42.0
1389,50,60.0
1390,20,70.0
1391,90,65.0
1392,85,68.0
1393,190,60.0
1394,120,53.0
1395,60,88.0
1396,20,0.0
1397,70,51.0
1398,50,60.0
1399,50,51.0
1400,50,50.0
1401,60,62.0
1402,20,64.0
1403,20,49.0
1404,50,60.0
1405,120,44.0
1406,85,70.0
1407,20,0.0
1408,70,60.0
1409,60,46.0
1410,60,79.0
1411,50,80.0
1412,90,60.0
1413,20,88.0
1414,50,64.0
1415,120,51.0
1416,190,60.0
1417,60,0.0
1418,20,71.0
1419,20,0.0
1420,60,90.0
1421,120,53.0
1422,120,37.0
1423,80,0.0
1424,20,0.0
1425,20,80.0
1426,60,81.0
1427,50,60.0
1428,30,60.0
1429,20,0.0
1430,60,60.0
1431,120,0.0
1432,30,60.0
1433,60,93.0
1434,20,80.0
1435,20,80.0
1436,20,60.0
1437,20,96.0
1438,20,90.0
1439,60,80.0
1440,70,79.0
1441,120,0.0
1442,60,85.0
1443,30,0.0
1444,20,63.0
1445,85,70.0
1446,20,0.0
1447,60,80.0
1448,50,70.0
1449,180,21.0
1450,90,60.0
1451,20,78.0
1452,180,35.0
1453,20,90.0
1454,20,62.0
1455,60,62.0
1456,20,85.0
1457,70,66.0
1458,20,68.0
1459,20,75.0
